KPI1_ID,KPI2_ID,KPI3_ID,KPI4_ID,pr_id,pr_name,portfolio,Column1
kpi_29,0,0,0,EA-9,برنامج إدارة المخاطر والامتثال,EA portfolio,"Closure rate of governance, risk, and compliance observations within the specified timeframe"
kpi_21,0,0,0,EA-20,برنامج تعزيز قدرات التواصل الداخلي والإعلام,EA portfolio,Level of completion of target operating model activation
kpi_35,kpi_36,0,0,EA-21,برنامج تطوير رأس المال البشري,EA portfolio,Rate of civilian employees as a percentage of total staff
kpi_34,kpi_33,kpi_32,0,EA-22,برنامج تطوير القدرات وتنمية المهارات,EA portfolio,Number of trainees
kpi_38,0,0,0,EA-23,برنامج تمكين تحول وزارة الحرس الوطني,EA portfolio,Percentage of awareness of the target audience of the transformation journey and its objectives
kpi_72,kpi_67,0,0,EA-25,رفع مستوى اعتزاز ووعي منسوبي الوزارة,EA portfolio,Number of programs dedicated to promoting the Ministry's values
#N/A,0,0,0,EA-TBD,يتم تحديدها لاحقا,EA portfolio,0
kpi_02,0,0,0,MA-1,برنامج تعزيز قدرات الجمع والتحليل الاستخباراتي,MA portfolio,Level of completeness of organizational units responsible for force building
kpi_10,0,0,0,MA-2,برنامج تعزيز قدرات الطب العسكري الميداني,MA portfolio,Percentage of Completion of specialized medical capacity and field hospitals
kpi_10,0,0,0,MA-3,برنامج الكفاءة والتميز  للطب العسكري الميداني,MA portfolio,Percentage of Completion of specialized medical capacity and field hospitals
kpi_20,kpi_19,kpi_18,kpi_17,MA-4,برنامج التكامل مع شركاء المنظومة,MA portfolio,Level of service level agreement activation for intelligence information exchange.
kpi_04,0,0,0,MA-5,برنامج التميز العملياتي,MA portfolio,Percentage of tasks exited
kpi_01,0,0,0,MA-6,تعزيز الجاهزية والتفوق في تنفيذ المهام,MA portfolio,Level of readiness of forces to carry out future missions
kpi_05,0,0,0,MA-7,برنامج هيكلة وتموضع قوات وزارة الحرس الوطني,MA portfolio,Percentage of military forces assigned to the main targeted missions
kpi_03,0,0,0,MA-8,برنامج تعزيز كفاءة القوات,MA portfolio,Efficiency ratio of the use of forces
kpi_07,0,0,0,MA-9,برنامج تطوير الكليات العسكرية,MA portfolio,Percentage of units that are satisfied with military education and training outputs
kpi_02,0,0,0,MA-10,برنامج تأسيس وتطوير العقيدة والتدريب,MA portfolio,Level of completeness of organizational units responsible for force building
kpi_07,0,0,0,MA-11,برنامج تحسين وتخطيط التدريب,MA portfolio,Percentage of units that are satisfied with military education and training outputs
kpi_02,0,0,0,MA-12,برنامج إدارة القوى البشرية,MA portfolio,Level of completeness of organizational units responsible for force building
kpi_06,0,0,0,MA-13,برنامج تعزيز قدرات الأمن والسلامة,MA portfolio,Number of security and safety violations
kpi_08,0,0,0,MA-14,برنامج تعزيز قدرات الاتصالات,MA portfolio,Percentage of units associated with the command and control system
kpi_05,0,0,0,MA-15,برنامج تطوير الأفواج,MA portfolio,Percentage of military forces assigned to the main targeted missions
kpi_01,0,0,0,MA-16,برنامج تعزيز التخطيط العملياتي,MA portfolio,Level of readiness of forces to carry out future missions
kpi_02,0,0,0,MA-17,برنامج تطوير الخدمات اللوجستية,MA portfolio,Level of completeness of organizational units responsible for force building
kpi_21,0,0,0,MA-18,تطوير المنظومة القيادية في الجهاز العسكري,MA portfolio,Level of completion of target operating model activation
kpi_21,0,0,0,MA-19,برنامج التميز المؤسسي العسكري,MA portfolio,Level of completion of target operating model activation
kpi_02,0,0,0,MA-20,برنامج تطوير وتكامل القدرات,MA portfolio,Level of completeness of organizational units responsible for force building
,0,0,0,EA-24,برنامج توطين الصناعات العسكرية ورفع مستوى المحتوى المحلي,EA portfolio,
